Itterations,totalWait,tPlaceGold,tForageGold,ittGoldFinish,tPlaceRock,tForageRock,ittRockFinish
100001,0,2499,4,0,2496,1,0
100001,0,2492,5,0,2495,5,0
94424,77,2493,2493,94424,2497,2497,94424
100001,0,2497,4,100001,2496,3,100001
91455,106,2492,2492,91455,2495,2495,91455
98451,59,2492,2492,98451,2495,2495,98451
91216,70,2498,2498,91216,2499,2499,91216
90516,67,2495,2495,90516,2497,2497,90516
100001,0,2494,5,100001,2498,1,100001
92660,87,2491,2491,92660,2494,2494,92660
100001,0,2493,3,100001,2497,1,100001
91105,70,2497,2497,91105,2497,2497,91105
91608,66,2499,2499,91608,2496,2496,91608
90482,144,2495,2495,90482,2493,2493,90482
91085,71,2496,2496,91085,2496,2496,91085
90608,60,2494,2494,90608,2497,2497,90608
100001,0,2495,1,100001,2496,3,100001
90758,127,2496,2496,90758,2496,2496,90758
100001,0,2496,2,100001,2500,3,100001
100001,0,2491,4,100001,2497,4,100001
91348,47,2492,2492,91348,2497,2497,91348
92789,98,2496,2496,92789,2489,2489,92789
90878,63,2498,2498,90878,2494,2494,90878
90893,63,2495,2495,90893,2497,2497,90893
93095,66,2496,2496,93095,2497,2497,93095
91562,90,2496,2496,91562,2498,2498,91562
100001,0,2499,2,100001,2495,8,100001
90986,55,2498,2498,90986,2497,2497,90986
91819,60,2496,2496,91819,2489,2489,91819
90521,95,2496,2496,90521,2494,2494,90521
